fuel_frac,ref_mult,core_r,keff,stdv,r_mass,c_mass,p_mass,mass
   0.64031,   0.09798,  39.45716,   1.80891,   0.00067,-221884.99956,2849930.83979,1006095.79178,3634141.63201
   0.75585,   0.00684,  15.07128,   1.20053,   0.00068,-17905.33300,183599.27111,45068.18780,210762.12591
   0.43885,   0.09269,  37.57680,   1.61251,   0.00079,-197045.93210,1791952.95858,858447.97856,2453355.00504
   0.69236,   0.07870,  10.56892,   0.84493,   0.00053,-4696.22237,58620.26067,18488.35805,72412.39635
   0.54778,   0.10641,  10.64507,   0.72110,   0.00050,-4159.15481,48970.88419,20142.69061,64954.41999
   0.74982,   0.12909,  21.79794,   1.53356,   0.00070,-31008.98145,551565.62444,182079.49008,702636.13307
   0.44330,   0.02461,  38.90263,   1.62147,   0.00066,-290647.47518,2004815.32867,809914.51775,2524082.37124
   0.92124,   0.12621,  12.96169,   1.23045,   0.00069,-6647.45143,139352.34448,38035.13334,170740.02639
   0.53372,   0.14505,  33.16278,   1.64140,   0.00069,-97134.44972,1448502.12037,664429.22559,2015796.89624
   0.64607,   0.05587,  15.58151,   1.13859,   0.00064,-16624.50591,176868.42428,56129.09362,216373.01198
   0.38557,   0.03633,  45.59854,   1.65124,   0.00061,-449134.50576,2885539.02837,1342079.89030,3778484.41291
   0.33362,   0.14354,  10.55023,   0.49220,   0.00037,-3164.76588,31918.69587,21321.87439,50075.80438
   0.91624,   0.05381,  40.30008,   1.94053,   0.00070,-290036.11459,4167889.57387,966360.19426,4844213.65355
   0.56639,   0.02191,  20.60488,   1.28809,   0.00067,-43581.94452,365341.34895,119545.27609,441304.68052
   0.40769,   0.03192,  23.54049,   1.20035,   0.00065,-62783.10219,415104.83720,182688.97967,535010.71467
   0.93164,   0.05813,  11.14954,   1.08414,   0.00060,-6034.96078,89598.22439,20676.24200,104239.50561
   0.93400,   0.12537,  12.87654,   1.23337,   0.00070,-6553.71932,138330.58411,37219.92062,168996.78541
   0.70883,   0.14036,  13.42050,   1.08870,   0.00065,-6674.81289,122516.25345,43578.57350,159420.01406
   0.40414,   0.09191,  21.45137,   1.13978,   0.00060,-36805.55880,311910.54653,159417.20846,434522.19618
   0.89079,   0.03519,  46.39322,   1.97435,   0.00068,-474984.95951,6199405.31015,1409568.77864,7133989.12927
   0.25008,   0.07176,  18.62406,   0.75148,   0.00050,-26527.28842,141775.61515,99529.01249,214777.33923
   0.76536,   0.06150,  47.51062,   1.93956,   0.00065,-460451.68600,5815545.19171,1612708.25490,6967801.76060
   0.35686,   0.12943,  32.71101,   1.42190,   0.00059,-104547.61649,1002309.27185,615783.97842,1513545.63378
   0.24079,   0.00176,  41.60330,   1.33067,   0.00072,-382541.82548,1538475.77786,936034.89144,2091968.84382
   0.20364,   0.10543,  26.58862,   0.95041,   0.00055,-65171.70816,357854.94415,313173.20830,605856.44429
   0.85021,   0.01077,  16.48266,   1.35936,   0.00067,-23134.50373,266631.56947,59531.64040,303028.70613
   0.81504,   0.13490,  35.84374,   1.86394,   0.00063,-132380.38562,2640551.10599,820187.35652,3328358.07689
   0.68659,   0.04567,  18.93353,   1.34786,   0.00071,-31052.07676,334562.72842,98272.15852,401782.81018
   0.62602,   0.04951,  10.95358,   0.80597,   0.00047,-5923.88855,59794.72362,19205.00345,73075.83851
   0.57997,   0.13100,  34.35375,   1.70047,   0.00066,-119800.19152,1727702.93651,715814.00656,2323716.75154
   0.79804,   0.02059,  46.53038,   1.94091,   0.00061,-504109.33738,5669205.21237,1372212.53560,6537308.41060
   0.34772,   0.12580,  46.10262,   1.63204,   0.00068,-299937.27034,2749951.28113,1709919.45167,4159933.46246
   0.82183,   0.12588,  26.17589,   1.70527,   0.00069,-54869.04626,1036021.81139,313026.78444,1294179.54958
   0.81057,   0.01029,  39.19099,   1.88540,   0.00067,-311455.98004,3434686.25601,799294.49434,3922524.77031
   0.38243,   0.12952,  35.25333,   1.51275,   0.00071,-130787.17701,1324827.00391,770965.22870,1965005.05560
   0.70239,   0.01721,  31.69952,   1.72453,   0.00067,-161185.22540,1601677.24642,430279.08371,1870771.10474
   0.60627,   0.06210,  13.11993,   0.94620,   0.00062,-9671.83419,99957.63323,34009.27197,124295.07101
   0.48756,   0.13815,  12.64528,   0.80527,   0.00051,-5676.57871,74459.46257,36275.40760,105058.29146
   0.51058,   0.14833,  22.27911,   1.32975,   0.00073,-28687.79485,423166.57313,202930.31522,597409.09350
   0.26679,   0.05078,  40.68357,   1.39659,   0.00063,-302014.87336,1548359.63282,987021.82416,2233366.58362
   0.62832,   0.01170,  43.02695,   1.82960,   0.00070,-410314.80354,3635715.94269,1061427.41709,4286828.55624
   0.52345,   0.10079,  20.40897,   1.25775,   0.00065,-30242.74485,332151.67826,140131.22745,442040.16086
   0.52502,   0.14603,  12.95496,   0.87119,   0.00055,-5745.86909,85167.32525,39696.15237,119117.60853
   0.52938,   0.14091,  42.09729,   1.76948,   0.00069,-205158.03900,2942692.74792,1346670.44402,4084205.15294
   0.69885,   0.00964,  27.65140,   1.63553,   0.00065,-109617.54638,1058397.86192,280283.74434,1229064.05988
   0.27063,   0.08918,  39.70843,   1.40183,   0.00072,-236708.39311,1454732.62749,1004774.25633,2222798.49071
   0.63108,   0.04102,  35.51255,   1.74142,   0.00062,-208532.00513,2051896.38559,641220.10377,2484584.48423
   0.29645,   0.13015,  31.78675,   1.30276,   0.00062,-95460.66181,798180.23690,565962.10639,1268681.68148
   0.90685,   0.07724,  40.93113,   1.94341,   0.00072,-274647.46157,4326426.04552,1070241.28445,5122019.86840
   0.40313,   0.12237,  45.34296,   1.68919,   0.00072,-291827.05709,2939842.54622,1614234.83165,4262250.32078
   0.23461,   0.04698,  11.99989,   0.41995,   0.00042,-7865.76352,36249.06969,25097.88586,53481.19204
   0.88022,   0.10767,  27.00909,   1.75430,   0.00070,-67446.87351,1210207.41921,329954.32490,1472714.87059
   0.67079,   0.02108,  49.01755,   1.90503,   0.00061,-588381.62546,5688899.64446,1606165.14409,6706683.16309
