# AR,core_r,cool_r,PD,power,enrich,keff,ave_E,mass,q_dens,dU,dK,mass_235,m_dens,fuel_frac
   1.00000,  10.60547,   0.53833,   1.26382, 134.19922,   0.31655,   0.19523,   1.04840,  13.69568,  35.81050,   0.00000,  -0.02002,   4.28041,   3.65463,   0.25539
   1.00000,  10.05859,   0.68823,   1.32388, 138.41797,   0.66997,   0.34153,   1.11338,  13.11826,  43.29436,   0.00000,  -0.02043,   8.67550,   4.10313,   0.28673
   1.00000,  14.66797,   0.83569,   1.19741, 190.21484,   0.80464,   0.47884,   1.04872,  30.88118,  19.18600,   0.00000,  -0.01271,  24.61995,   3.11483,   0.21767
   1.00000,  19.98047,   0.94214,   1.35757, 154.00391,   0.25845,   0.45168,   0.78398, 108.58548,   6.14561,   0.00000,  -0.00675,  27.74805,   4.33316,   0.30281
   1.00000,  34.16016,   0.72290,   1.57046,  85.33203,   0.47241,   1.05365,   0.71904, 676.45747,   0.68140,   0.00000,  -0.00348, 314.91605,   5.40171,   0.37748
   1.00000,  39.94141,   0.80542,   1.52798, 106.19141,   0.46079,   1.11033,   0.69760,1045.96531,   0.53048,   0.00000,  -0.00217, 474.97887,   5.22513,   0.36514
   1.00000,  23.26172,   0.99341,   1.23013, 169.35547,   0.68091,   0.74162,   0.90339, 134.76794,   4.28276,   0.00000,  -0.00499,  90.60189,   3.40809,   0.23816
   1.00000,  46.73828,   0.76343,   1.20034,  91.07422,   0.48677,   0.94044,   0.73083,1006.41875,   0.28394,   0.00000,  -0.00124, 482.75195,   3.13769,   0.21927
   1.00000,  19.16016,   0.61206,   1.39712,  97.28516,   0.52368,   0.66116,   0.86696, 100.68417,   4.40250,   0.00000,  -0.00375,  51.95908,   4.55632,   0.31840
   1.00000,  17.28516,   0.74487,   1.26431, 155.41016,   0.42524,   0.44963,   0.90113,  59.61011,   9.57876,   0.00000,  -0.01055,  24.98664,   3.67409,   0.25675
   1.00000,  49.62891,   0.77173,   1.24038, 161.73828,   0.56812,   1.10634,   0.74214,1338.00646,   0.42117,   0.00000,  -0.00130, 749.27185,   3.48421,   0.24348
   1.00000,  34.62891,   0.95923,   1.19302, 116.73828,   0.51411,   0.80744,   0.79203, 401.77182,   0.89484,   0.00000,  -0.00007, 203.54472,   3.07973,   0.21522
   1.00000,  40.48828,   0.99780,   1.40347, 117.32422,   0.59614,   1.18607,   0.75816, 960.88902,   0.56266,   0.00000,  -0.00070, 564.78268,   4.60824,   0.32203
   1.00000,  36.07422,   0.59790,   1.44546, 115.33203,   0.57700,   1.11516,   0.75830, 710.93061,   0.78200,   0.00000,   0.00141, 404.36866,   4.82044,   0.33686
   1.00000,  35.52734,   0.87671,   1.52505, 191.38672,   0.75132,   1.29500,   0.81741, 734.57250,   1.35854,   0.00000,   0.00065, 545.87904,   5.21431,   0.36438
   1.00000,  31.26953,   0.59448,   1.35513,  85.91797,   0.28374,   0.66578,   0.68904, 413.16945,   0.89448,   0.00000,  -0.00179, 115.83490,   4.30144,   0.30059
   1.00000,  39.51172,   0.88403,   1.18325, 135.60547,   0.21538,   0.53620,   0.67044, 578.52807,   0.69976,   0.00000,  -0.00203, 123.36445,   2.98536,   0.20862
   1.00000,  44.82422,   0.87280,   1.56899, 152.24609,   0.88394,   1.52221,   0.83915,1527.97108,   0.53809,   0.00000,   0.00213,1342.51900,   5.40041,   0.37739
   1.00000,  45.99609,   0.94995,   1.35122, 174.98047,   0.60981,   1.22621,   0.75338,1312.52176,   0.57237,   0.00000,  -0.00086, 789.28396,   4.29333,   0.30002
   1.00000,  24.47266,   0.66431,   1.48013, 153.76953,   0.33091,   0.67535,   0.73479, 230.16083,   3.33946,   0.00000,  -0.00452,  75.17483,   4.99848,   0.34930
   1.00000,  30.05859,   0.93823,   1.57388, 198.41797,   0.23999,   0.69723,   0.64649, 462.58807,   2.32555,   0.00000,  -0.00100, 109.82643,   5.42174,   0.37888
   1.00000,  42.63672,   0.53784,   1.49478, 164.43359,   0.64878,   1.28871,   0.75968,1232.30370,   0.67529,   0.00000,  -0.00184, 788.87021,   5.06077,   0.35365
   1.00000,  21.89453,   0.98804,   1.29214, 165.48828,   0.46968,   0.63784,   0.84320, 128.36289,   5.01892,   0.00000,  -0.00335,  59.41287,   3.89298,   0.27205
   1.00000,  47.51953,   0.63647,   1.22183, 167.36328,   0.78687,   1.20032,   0.81714,1118.91342,   0.49647,   0.00000,   0.00009, 871.81343,   3.31918,   0.23195
   1.00000,  37.75391,   0.85083,   1.20132, 186.11328,   0.52505,   0.86420,   0.77697, 532.71837,   1.10088,   0.00000,  -0.00571, 275.63501,   3.15110,   0.22020
   1.00000,  13.02734,   0.88550,   1.43130,  93.88672,   0.79507,   0.60862,   1.03249,  33.05064,  13.51721,   0.00000,  -0.00466,  26.02740,   4.75842,   0.33252
   1.00000,  28.73047,   0.98364,   1.27114, 121.07422,   0.85249,   1.02604,   0.90158, 278.38363,   1.62508,   0.00000,  -0.00119, 235.57299,   3.73651,   0.26111
   1.00000,  27.53906,   0.56982,   1.40908, 121.36719,   0.33057,   0.69392,   0.72100, 303.23379,   1.84971,   0.00000,  -0.00275,  98.94073,   4.62147,   0.32295
   1.00000,  11.97266,   0.82690,   1.33071, 191.97266,   0.27759,   0.24982,   0.96606,  22.40607,  35.60554,   0.00000,  -0.02054,   6.14651,   4.15570,   0.29041
   1.00000,  47.79297,   0.53101,   1.59585,  83.33984,   0.26870,   0.93934,   0.58866,1883.76978,   0.24300,   0.00000,   0.00208, 500.33023,   5.49270,   0.38384
   1.00000,  22.79297,   0.92505,   1.26724, 101.38672,   0.59614,   0.72070,   0.87561, 137.81674,   2.72539,   0.00000,  -0.00363,  81.00468,   3.70467,   0.25889
   1.00000,  30.13672,   0.50659,   1.40103,  96.93359,   0.43003,   0.83640,   0.73950, 392.99650,   1.12729,   0.00000,  -0.00209, 166.58049,   4.57036,   0.31938
   1.00000,  23.18359,   0.80542,   1.34731, 151.54297,   0.76841,   0.90651,   0.90213, 166.89418,   3.87118,   0.00000,  -0.00565, 126.91041,   4.26333,   0.29793
   1.00000,  17.36328,   0.59937,   1.20815, 171.69922,   0.62896,   0.49323,   0.96352,  52.55949,  10.44054,   0.00000,  -0.00918,  32.60796,   3.19599,   0.22334
   1.00000,  42.12891,   0.60620,   1.30288, 144.62891,   0.62417,   1.12351,   0.76954, 928.30138,   0.61569,   0.00000,   0.00134, 571.49217,   3.95183,   0.27616
   1.00000,  47.67578,   0.79077,   1.23599,  93.76953,   0.76567,   1.22853,   0.81253,1174.14839,   0.27543,   0.00000,   0.00103, 889.59101,   3.44889,   0.24101
   1.00000,  13.22266,   0.53003,   1.37515, 165.72266,   0.33159,   0.32847,   0.93076,  32.10202,  22.81789,   0.00000,  -0.01525,  10.50653,   4.42004,   0.30888
   1.00000,  17.94922,   0.53638,   1.10122, 142.16797,   0.22085,   0.17081,   0.92624,  37.97979,   7.82555,   0.00000,  -0.01072,   8.30294,   2.09058,   0.14609
   1.00000,  49.43359,   0.87866,   1.33169, 170.29297,   0.88530,   1.43432,   0.84081,1580.31562,   0.44873,   0.00000,  -0.00092,1390.73208,   4.16416,   0.29100
   1.00000,  29.23828,   0.85718,   1.10659, 182.83203,   0.88052,   0.72520,   0.93812, 171.26997,   2.32834,   0.00000,  -0.00300, 149.87747,   2.18110,   0.15242
   1.00000,  26.19141,   0.92407,   1.19741,  97.05078,   0.65015,   0.74441,   0.88020, 176.03511,   1.71938,   0.00000,  -0.00149, 112.93113,   3.11869,   0.21794
   1.00000,  28.73047,   0.98364,   1.27114, 172.98828,   0.85249,   1.02502,   0.90140, 278.38363,   2.32187,   0.00000,  -0.00221, 235.57299,   3.73651,   0.26111
   1.00000,  21.19141,   0.53979,   1.36929, 117.44141,   0.52026,   0.69401,   0.84618, 131.10451,   3.92818,   0.00000,  -0.00184,  67.21531,   4.38519,   0.30644
   1.00000,  41.54297,   0.97192,   1.18911, 195.13672,   0.45327,   0.84413,   0.74300, 685.60981,   0.86636,   0.00000,  -0.00095, 306.26950,   3.04393,   0.21271
   1.00000,  47.94922,   0.90259,   1.46890, 162.20703,   0.65356,   1.35860,   0.75622,1715.16276,   0.46835,   0.00000,  -0.00065,1106.16038,   4.95234,   0.34608
   1.00000,  14.39453,   0.77417,   1.38589, 112.98828,   0.46216,   0.46648,   0.93344,  42.15950,  12.05844,   0.00000,  -0.00668,  19.20168,   4.49938,   0.31442
   1.00000,  35.29297,   0.64380,   1.48599, 187.05078,   0.82515,   1.30928,   0.84226, 694.07777,   1.35439,   0.00000,   0.00025, 567.88672,   5.02567,   0.35120
   1.00000,  49.27734,   0.76733,   1.13394, 163.14453,   0.51411,   0.85946,   0.75265, 932.72162,   0.43399,   0.00000,   0.00039, 472.53330,   2.48119,   0.17339
   1.00000,  49.74609,   0.80933,   1.58560, 126.23047,   0.71919,   1.47249,   0.77208,2113.59983,   0.32639,   0.00000,   0.00247,1502.16623,   5.46507,   0.38191
   1.00000,  25.91797,   0.85132,   1.16860, 156.46484,   0.87642,   0.79938,   0.94284, 155.47321,   2.86064,   0.00000,  -0.00575, 135.39564,   2.84251,   0.19864
   1.00000,  14.31641,   0.52563,   1.45522,  91.42578,   0.43208,   0.46808,   0.91302,  44.85185,   9.91782,   0.00000,  -0.00672,  19.10180,   4.86551,   0.34001
   1.00000,  32.91016,   0.98853,   1.46841, 194.08203,   0.68638,   1.17800,   0.80946, 554.53341,   1.73319,   0.00000,   0.00122, 375.84136,   4.95208,   0.34606
   1.00000,  15.33203,   0.65308,   1.30386, 127.05078,   0.50044,   0.46374,   0.94298,  44.86240,  11.22092,   0.00000,  -0.00782,  22.12344,   3.96217,   0.27688
   1.00000,  20.03906,   0.59521,   1.50283,  83.86719,   0.48916,   0.72012,   0.82948, 128.98722,   3.31749,   0.00000,  -0.00412,  62.17530,   5.10229,   0.35655
   1.00000,  49.51172,   0.99243,   1.30825, 105.60547,   0.39038,   1.00867,   0.66725,1528.26820,   0.27696,   0.00000,   0.00017, 588.30355,   4.00798,   0.28008
   1.00000,  17.63672,   0.84546,   1.55728, 137.59766,   0.38628,   0.59338,   0.82250,  92.23288,   7.98376,   0.00000,  -0.00583,  35.13381,   5.35159,   0.37398
   1.00000,  19.78516,   0.55249,   1.29556, 135.37109,   0.36987,   0.48842,   0.83873,  94.76334,   5.56362,   0.00000,  -0.00588,  34.57221,   3.89468,   0.27216
   1.00000,  10.03906,   0.87646,   1.40615, 121.36719,   0.33057,   0.24949,   1.02837,  14.68488,  38.18320,   0.00000,  -0.01754,   4.79146,   4.61999,   0.32285
   1.00000,  26.07422,   0.64331,   1.30337, 148.49609,   0.24956,   0.51089,   0.72839, 220.42624,   2.66644,   0.00000,  -0.00382,  54.40433,   3.95803,   0.27659
   1.00000,  39.47266,   0.85181,   1.23062, 198.76953,   0.63101,   1.02038,   0.79612, 658.25405,   1.02875,   0.00000,  -0.00151, 409.72541,   3.40686,   0.23808
   1.00000,  36.66016,   0.95044,   1.10171, 137.83203,   0.79575,   0.80849,   0.88725, 329.51001,   0.89047,   0.00000,  -0.00463, 259.71743,   2.12880,   0.14876
   1.00000,  17.91016,   0.56519,   1.37905, 122.24609,   0.32681,   0.46425,   0.83174,  80.25513,   6.77309,   0.00000,  -0.00623,  25.89016,   4.44656,   0.31073
   1.00000,  20.25391,   0.75708,   1.35757, 178.61328,   0.30630,   0.49880,   0.79630, 112.92682,   6.84285,   0.00000,  -0.00589,  34.15865,   4.32634,   0.30233
   1.00000,  10.25391,   0.80151,   1.18569, 150.25391,   0.81011,   0.29316,   1.16633,  10.17589,  44.36162,   0.00000,  -0.02207,   8.16947,   3.00437,   0.20995
   1.00000,  10.25391,   0.80151,   1.18569, 103.02734,   0.84907,   0.30953,   1.17281,  10.17589,  30.41824,   0.00000,  -0.01706,   8.57526,   3.00437,   0.20995
   1.00000,  30.68359,   0.58667,   1.19839, 144.04297,   0.77593,   0.87801,   0.87676, 281.93994,   1.58717,   0.00000,  -0.00394, 216.54414,   3.10662,   0.21709
   1.00000,  47.05078,   0.89233,   1.16567, 133.14453,   0.68911,   1.05337,   0.80461, 921.32003,   0.40689,   0.00000,  -0.00177, 626.95656,   2.81553,   0.19675
   1.00000,  15.33203,   0.53101,   1.30386, 127.05078,   0.59546,   0.50215,   0.96400,  44.74862,  11.22092,   0.00000,  -0.00856,  26.27173,   3.95213,   0.27618
   1.00000,  45.09766,   0.62622,   1.42593, 185.64453,   0.27622,   0.86456,   0.61358,1359.58238,   0.64427,   0.00000,  -0.00031, 371.13777,   4.71839,   0.32973
   1.00000,  39.43359,   0.97729,   1.45669, 109.23828,   0.71030,   1.29224,   0.79703, 942.61329,   0.56706,   0.00000,   0.00095, 661.49966,   4.89311,   0.34194
   1.00000,  27.75391,   0.61304,   1.25063, 155.52734,   0.32886,   0.57740,   0.75739, 238.90079,   2.31571,   0.00000,  -0.00256,  77.54921,   3.55709,   0.24857
   1.00000,  19.90234,   0.56519,   1.57925, 163.26172,   0.80601,   0.96044,   0.91462, 134.47013,   6.59207,   0.00000,  -0.00591, 107.39382,   5.42955,   0.37942
   1.00000,  33.84766,   0.82935,   1.17544,  99.98047,   0.83882,   0.96302,   0.88893, 354.27548,   0.82069,   0.00000,   0.00052, 294.82322,   2.90807,   0.20322
   1.00000,  10.03906,   0.60107,   1.37783, 113.86719,   0.81182,   0.41760,   1.12693,  14.11890,  35.82363,   0.00000,  -0.01464,  11.35965,   4.44193,   0.31041
   1.00000,  25.09766,   0.95972,   1.22915, 148.84766,   0.59478,   0.73190,   0.86501, 168.79603,   2.99704,   0.00000,  -0.00384,  98.98555,   3.39870,   0.23751
   1.00000,  11.07422,   0.60669,   1.39028, 185.29297,   0.55991,   0.37214,   1.04159,  19.26917,  43.42798,   0.00000,  -0.02281,  10.63396,   4.51621,   0.31560
   1.00000,  32.48047,   0.74927,   1.38052, 102.32422,   0.74312,   1.13731,   0.83573, 480.81516,   0.95052,   0.00000,   0.00041, 353.32195,   4.46644,   0.31212
