core_r,ref_mult,fuel_frac,keff,r_mass,c_mass,p_mass,mass
  32.85714,   0.32221,   0.70714,   1.64970,248467.40928,897095.76039,736241.29981,1881804.46947
  32.85714,   0.21514,   0.46429,   1.41763,150465.26303,627266.18927,584990.00114,1362721.45344
  30.00000,   1.07171,   0.22143,   1.16138,1137982.21696,272057.05433,1946356.99332,3356396.26461
  18.57143,   0.42929,   0.10000,   0.42289,65675.43027,40177.95725,164552.88062,270406.26814
  38.57143,   0.10807,   0.16071,   0.95637,110487.40507,469079.05346,737375.70662,1316942.16515
  32.85714,   1.17879,   0.95000,   1.82279,1770002.86611,1166936.47546,2946721.87027,5883661.21184
  10.00000,   0.85757,   0.28214,   0.38889,28891.45693,11977.79323,53101.00616,93970.25632
  35.71429,   0.53636,   0.16071,   1.07098,638984.37593,372370.16890,1427829.56998,2439184.11482
  24.28571,   0.10807,   0.82857,   1.48210,27578.33020,416725.28670,184053.47387,628357.09077
  50.00000,   1.17879,   0.88929,   1.96242,6237272.34994,3874439.82587,10383885.35762,20495597.53344
  32.85714,   0.42929,   0.28214,   1.21859,363710.77254,424879.80239,911294.45344,1699885.02837
  47.14286,   0.53636,   0.70714,   1.85182,1469643.35527,2649703.67493,3283961.73528,7403308.76548
  21.42857,   1.07171,   0.28214,   0.98664,414716.46843,117857.27134,709313.63121,1241887.37098
  32.85714,   0.42929,   0.34286,   1.31047,363710.77254,492346.38893,911294.45344,1767351.61490
  38.57143,   1.50000,   0.76786,   1.82973,4482206.79361,1560406.49315,7032993.24442,13075606.53119
  21.42857,   0.85757,   0.76786,   1.44079,284281.77152,267559.32916,522495.21848,1074336.31917
  47.14286,   1.07171,   0.22143,   1.47757,4415902.64189,1055708.46984,7552774.42892,13024385.54065
  21.42857,   0.42929,   0.64643,   1.30173,100889.61388,230133.96927,252783.67449,583807.25764
  15.71429,   0.10807,   0.52500,   0.82431,7471.36311,75998.52112,49862.71196,133332.59619
  24.28571,   0.00100,   0.22143,   0.68009, 229.72417,144327.35129,140107.79741,284664.87287
  47.14286,   0.85757,   0.70714,   1.86848,3027033.45897,2649703.67493,5563531.21063,11240268.34453
  12.85714,   1.28586,   0.76786,   1.03275,124224.42734,57792.78813,202146.35477,384163.57024
  41.42857,   1.39293,   0.76786,   1.86047,4823665.96164,1933482.99527,7697661.85473,14454810.81164
  32.85714,   0.42929,   0.52500,   1.51782,363710.77254,694720.51746,911294.45344,1969725.74344
  12.85714,   0.96464,   0.34286,   0.63596,74724.81638,29499.49633,132014.27841,236238.59112
  47.14286,   0.42929,   0.88929,   1.91951,1074273.01873,3247481.50060,2691641.59372,7013396.11305
  15.71429,   0.75050,   0.76786,   1.17212,90440.89417,105517.57917,174623.72623,370582.19957
  35.71429,   1.50000,   0.28214,   1.42084,3558121.14927,545635.82101,5583018.17785,9686775.14812
  41.42857,   0.64343,   0.70714,   1.80161,1305840.46195,1798247.05715,2685232.92624,5789320.44534
  18.57143,   0.42929,   0.64643,   1.17767,65675.43027,149808.75505,164552.88062,380037.06594
  21.42857,   0.32221,   0.46429,   1.09440,68922.29451,173997.16591,204225.73667,447145.19710
  30.00000,   0.10807,   0.22143,   0.91257,51985.15189,272057.05433,346940.79461,670983.00083
  50.00000,   0.96464,   0.95000,   1.97354,4394826.66415,4112140.58003,7764219.42428,16271186.66846
  38.57143,   0.75050,   0.16071,   1.17738,1337450.68457,469079.05346,2582356.40351,4388886.14154
  44.28571,   0.53636,   0.46429,   1.66229,1218302.15448,1535866.40044,2722332.35565,5476500.91057
  12.85714,   0.64343,   0.70714,   0.92941,39032.23423,53750.51730,80262.97514,173045.72667
  24.28571,   1.39293,   0.22143,   1.03482,971694.64819,144327.35129,1550641.54262,2666663.54210
  18.57143,   1.28586,   0.76786,   1.35369,374377.65678,174171.28871,609212.53773,1157761.48321
