core_r,fuel_frac,ref_mult,keff,stdv,r_mass,c_mass,p_mass,mass
  45.86207,   0.78333,   0.05222,   1.93478,   0.00065,-430184.71327,5339528.78826,1418826.89989,6328170.97488
  41.72414,   0.86667,   0.01962,   1.93251,   0.00064,-364651.90508,4399956.33387,987043.21248,5022347.64127
  41.72414,   0.61667,   0.14534,   1.82643,   0.00073,-193013.58231,3262343.08603,1324151.31279,4393480.81650
  25.17241,   0.61667,   0.10809,   1.52506,   0.00070,-54469.98072,716377.34055,267371.69225,929279.05208
  34.82759,   0.28333,   0.02428,   1.30071,   0.00068,-208779.48706,1015142.64943,580658.66933,1387021.83170
  50.00000,   0.70000,   0.04291,   1.92868,   0.00066,-577909.40589,6266597.69797,1797856.56904,7486544.86112
  40.34483,   0.70000,   0.13138,   1.85774,   0.00069,-193531.72528,3292194.39593,1160410.72348,4259073.39414
  44.48276,   0.36667,   0.01962,   1.60598,   0.00065,-441866.91275,2574641.18784,1196049.52280,3328823.79789
  26.55172,   0.53333,   0.01497,   1.45583,   0.00076,-95414.35744,742979.74450,251458.03823,899023.42529
  43.10345,   0.61667,   0.08947,   1.83307,   0.00064,-302320.62877,3596694.47264,1286023.31065,4580397.15451
  26.55172,   0.28333,   0.01031,   1.07658,   0.00055,-96847.51807,449815.88009,248569.40806,601537.77008
  36.20690,   0.45000,   0.09878,   1.60335,   0.00070,-170710.88423,1636182.95707,778818.92127,2244290.99411
  25.17241,   0.53333,   0.10344,   1.43954,   0.00068,-55923.00781,633101.56274,264539.14620,841717.70113
  16.89655,   0.78333,   0.03825,   1.33474,   0.00072,-22691.99112,267015.26313,68602.95223,312926.22423
  26.55172,   0.70000,   0.10809,   1.63088,   0.00071,-63923.53888,938425.45714,313775.48767,1188277.40594
  38.96552,   0.28333,   0.00100,   1.37421,   0.00072,-315017.06011,1421668.14936,767579.70691,1874230.79617
  33.44828,   0.70000,   0.11275,   1.76798,   0.00067,-124347.05177,1876044.65733,633986.92705,2385684.53261
  37.58621,   0.78333,   0.00566,   1.85276,   0.00071,-278743.15657,2939189.45934,696991.39028,3357437.69305
  23.79310,   0.70000,   0.05222,   1.54195,   0.00073,-60068.54392,675266.01274,198116.90961,813314.37843
  45.86207,   0.36667,   0.04756,   1.63226,   0.00067,-438123.52011,2821645.78412,1403046.96870,3786569.23271
  14.13793,   0.78333,   0.03825,   1.17657,   0.00066,-13293.39693,156422.58365,40188.90496,183318.09168
  15.51724,   0.28333,   0.13138,   0.69044,   0.00049,-11011.13103,89784.26599,66022.42864,144795.56361
  16.89655,   0.78333,   0.11275,   1.35219,   0.00067,-16029.06669,267015.26313,81724.64559,332710.84203
