T3_new,T4_new,p3_new,p4_new,m_dot_new,cyc_efficiency_new,q_reactor_new,UA_new,A_panel_new,mass_total_estimated,mass_total_thermal
941.4607280291,1100,17906.4,17422.9272,0.7464255777,0.2654604844,150681.560328216,6527.7730912856,70,793.6946715258,650.7737106118
944.8214903813,1100,17906.4,17422.9272,0.722515741,0.2801129228,142799.552430512,6927.7730912856,70,788.6092411798,653.1643386516
947.7610415646,1100,17906.4,17422.9272,0.7023841684,0.2936393534,136221.523227683,7327.7730912856,70,785.2320229241,656.0263593083
950.3501954962,1100,17906.4,17422.9272,0.6851109771,0.3061907352,130637.52556171,7727.7730912856,70,783.1569859817,659.2477256579
952.6434429633,1100,17906.4,17422.9272,0.6700739124,0.3178784544,125834.259758004,8127.7730912856,70,782.1047077788,662.7513291614
954.683727011,1100,17906.4,17422.9272,0.6568346681,0.3287876251,121659.080063446,8527.7730912856,70,781.875222379,666.4819878737
885.2058091048,1100,17906.4,17422.9272,1.205389709,0.1218549329,328259.177119661,3317.385706236,80,1042.9492747785,731.5965324748
901.1108333411,1100,17906.4,17422.9272,0.923847754,0.1714948761,233243.120187762,3717.385706236,80,923.7182401977,702.4879132008
911.0012068877,1100,17906.4,17422.9272,0.8376842558,0.1988813949,201124.896644999,4117.385706236,80,886.8833673566,696.1170690145
918.8895810962,1100,17906.4,17422.9272,0.7821097932,0.222157137,180052.73448831,4517.385706236,80,864.5188349314,693.7394126039
925.3963406459,1100,17906.4,17422.9272,0.741442905,0.2429542126,164640.075900441,4917.385706236,80,849.5682521813,693.4076854776
930.8616471816,1100,17906.4,17422.9272,0.7097105246,0.2619093134,152724.618593962,5317.385706236,80,839.1990031098,694.3402081973
935.5100693117,1100,17906.4,17422.9272,0.6839298719,0.2793633223,143182.71873791,5717.385706236,80,831.9391142984,696.1307797966
939.5014258142,1100,17906.4,17422.9272,0.6623848449,0.2955333834,135348.499517451,6117.385706236,80,826.9162871196,698.5386836015
942.9541045202,1100,17906.4,17422.9272,0.6440005642,0.3105710651,128794.998919757,6517.385706236,80,823.5712013366,701.4095714302
945.9581435654,1100,17906.4,17422.9272,0.6280602051,0.3245894536,123232.592917736,6917.385706236,80,821.5244494739,704.6387432378
948.5833334344,1100,17906.4,17422.9272,0.6140649206,0.3376755412,118456.90647942,7317.385706236,80,820.5083002397,708.1523167733
860.1980275697,1100,17906.4,17422.9272,1.2466671303,0.1057367976,378297.819686699,2506.9642837766,90,1156.5673759071,797.7531468566
880.9126181451,1100,17906.4,17422.9272,0.9172629336,0.157045434,254703.361822712,2906.9642837766,90,999.8986361052,758.3133409939
894.5035807885,1100,17906.4,17422.9272,0.8201832632,0.1870543083,213841.639679046,3306.9642837766,90,951.609780097,748.781693105
905.2376510194,1100,17906.4,17422.9272,0.7589378986,0.2131150079,187692.084160111,3706.9642837766,90,922.5938623672,744.5685421775
913.9457088143,1100,17906.4,17422.9272,0.7148314125,0.2366967748,168992.585670733,4106.9642837766,90,903.3375193461,743.0486115409
921.129577157,1100,17906.4,17422.9272,0.6808051046,0.2583662172,154819.002376095,4506.9642837766,90,890.0101252302,743.164814237
927.1314315132,1100,17906.4,17422.9272,0.6533715251,0.2784336405,143660.801649464,4906.9642837766,90,880.6328822783,744.3710877183
932.1955330911,1100,17906.4,17422.9272,0.6305527452,0.2971017043,134634.030768087,5306.9642837766,90,874.0478124237,746.347880148
936.5009366471,1100,17906.4,17422.9272,0.6111221566,0.3145170273,127179.123967838,5706.9642837766,90,869.5218845153,748.8929066491
940.1812993868,1100,17906.4,17422.9272,0.5942741822,0.3307890667,120922.980911585,6106.9642837766,90,866.5663371117,751.8712902139
943.3376915582,1100,17906.4,17422.9272,0.579458722,0.3459984151,115607.46596811,6506.9642837766,90,864.8430125357,755.1897139569
834.9395233098,1100,17906.4,17422.9272,1.2960284523,0.0921968005,433854.53492729,1921.6167822785,100,1280.3626206026,868.8530311503
860.1719398701,1100,17906.4,17422.9272,0.9159183262,0.1439042244,277962.653048449,2321.6167822785,100,1081.3842553413,817.7375995372
877.9449878217,1100,17906.4,17422.9272,0.8077196092,0.1760007372,227271.775270895,2721.6167822785,100,1020.2192054527,804.6526793324
891.8775590533,1100,17906.4,17422.9272,0.7409216895,0.2044933729,195605.360907685,3121.6167822785,100,983.9762026369,798.4451656609
903.0053165243,1100,17906.4,17422.9272,0.6935427896,0.2306066503,173455.535409624,3521.6167822785,100,960.1999312345,795.6779303832
912.0290392457,1100,17906.4,17422.9272,0.6573562052,0.2548049382,156982.828866717,3921.6167822785,100,943.8606856632,794.9629924103
919.4401146252,1100,17906.4,17422.9272,0.6283472195,0.2773525616,144220.77003758,4321.6167822785,100,932.3823885971,795.5894658756
925.5884908933,1100,17906.4,17422.9272,0.6042611783,0.2984346751,134032.682331218,4721.6167822785,100,924.2759937017,797.1464384268
930.726311524,1100,17906.4,17422.9272,0.5837165126,0.3181905909,125710.819685723,5121.6167822785,100,918.6143536361,799.3780575185
935.0365542457,1100,17906.4,17422.9272,0.5658163371,0.3367229817,118792.01057994,5521.6167822785,100,914.7907137076,802.1168851116
938.6520657802,1100,17906.4,17422.9272,0.5499553616,0.3540995556,112962.581772201,5921.6167822785,100,912.3941619694,805.2495272906
809.6726669012,1100,17906.4,17422.9272,1.3541021244,0.0807199866,495540.220988976,1474.7345742133,110,1414.0007124178,943.9824540389
838.6773808735,1100,17906.4,17422.9272,0.9193143902,0.1317980909,303494.532701676,1874.7345742133,110,1167.6608607614,879.7973016677
861.1077081183,1100,17906.4,17422.9272,0.7993820923,0.1655169237,241667.130493246,2274.7345742133,110,1091.9069638684,862.686490997
878.6090661308,1100,17906.4,17422.9272,0.72692531,0.1961389637,203937.041610358,2674.7345742133,110,1047.7205474318,854.2869389038
892.384309158,1100,17906.4,17422.9272,0.6762941033,0.2245731239,178115.703697055,3074.7345742133,110,1019.1345947653,850.1924397279
903.3719388946,1100,17906.4,17422.9272,0.637973995,0.2511533144,159265.268303914,3474.7345742133,110,999.6805244003,848.6179449006
912.2477952486,1100,17906.4,17422.9272,0.6073726507,0.2760907258,144879.91180861,3874.7345742133,110,986.0757073915,848.6575908833
919.4896865018,1100,17906.4,17422.9272,0.5819335271,0.2995546764,133531.549160826,4274.7345742133,110,976.4493523229,849.7951202003
925.4333556597,1100,17906.4,17422.9272,0.5600968524,0.3216842999,124345.515176663,4674.7345742133,110,969.6556478036,851.7143384909
930.3112948207,1100,17906.4,17422.9272,0.5408418412,0.3425857597,116759.085491604,5074.7345742133,110,964.9574249162,854.2118190335
934.2764551067,1100,17906.4,17422.9272,0.5234702589,0.3623138302,110401.52671348,5474.7345742133,110,961.8690229169,857.153540479
784.7224316891,1100,17906.4,17422.9272,1.4216245159,0.0709368782,563881.594686275,1118.4372131854,120,1557.5444165318,1022.7045915477
816.2121116289,1100,17906.4,17422.9272,0.92738168,0.1205173617,331902.386742773,1518.4372131854,120,1258.8916541258,944.0833395609
843.7629489885,1100,17906.4,17422.9272,0.7946970588,0.1554305231,257349.709695022,1918.4372131854,120,1166.4676471932,922.3722998897
865.235189338,1100,17906.4,17422.9272,0.7162752011,0.1879091307,212868.846994245,2318.4372131854,120,1113.4377170552,911.5323207028
881.9084416723,1100,17906.4,17422.9272,0.66229598,0.2184802982,183082.869861872,2718.4372131854,120,1079.6580870118,906.0045913183
894.9971338152,1100,17906.4,17422.9272,0.6217900584,0.2473219793,161732.491821122,3118.4372131854,120,1056.9290917784,903.5263589441
905.4006290712,1100,17906.4,17422.9272,0.5895129793,0.2745902111,145671.616790888,3518.4372131854,120,1041.1293454888,902.960299427
913.7474888146,1100,17906.4,17422.9272,0.5625575432,0.3004506574,133133.341569616,3918.4372131854,120,1029.9442049489,903.6676714078
920.4630252917,1100,17906.4,17422.9272,0.539120207,0.3250720848,123049.630725746,4318.4372131854,120,1021.9745437435,905.2623765405
925.8130607772,1100,17906.4,17422.9272,0.5179519776,0.3486073852,114742.262191164,4718.4372131854,120,1016.3318909632,907.4992353012
929.9115664303,1100,17906.4,17422.9272,0.4980780416,0.3711364393,107777.075380841,5118.4372131854,120,1012.4474962416,910.2212972006
760.4836542309,1100,17906.4,17422.9272,1.4994055897,0.0625700446,639283.546144552,824.0355167132,130,1711.1483107183,1104.7899845073
792.5579164775,1100,17906.4,17422.9272,0.9403623821,0.1099086346,363938.649051824,1224.0355167132,130,1355.6864955268,1010.491892266
825.6598395727,1100,17906.4,17422.9272,0.793474723,0.1456007216,274723.913167226,1624.0355167132,130,1244.055191518,983.4804697645
851.5499341582,1100,17906.4,17422.9272,0.7085805515,0.1796762483,222622.635898882,2024.0355167132,130,1181.0425182965,969.8856854726
871.4079780996,1100,17906.4,17422.9272,0.6510542781,0.2122149627,188488.123024901,2424.0355167132,130,1141.5663064316,962.7859460151
886.757900326,1100,17906.4,17422.9272,0.608247065,0.2432138672,164464.306488991,2824.0355167132,130,1115.3351067695,959.3412567705
898.7659030266,1100,17906.4,17422.9272,0.5741599331,0.2727761225,146640.401028972,3224.0355167132,130,1097.2257906169,958.1378559139
908.2345346171,1100,17906.4,17422.9272,0.5454459332,0.301094935,132848.465209667,3624.0355167132,130,1084.3983546936,958.3920254364
915.6726659882,1100,17906.4,17422.9272,0.5199083911,0.3284442837,121786.257169609,4024.0355167132,130,1075.1468621611,959.6330005918
921.3071467041,1100,17906.4,17422.9272,0.495712852,0.3551843384,112617.578175148,4424.0355167132,130,1068.3758926784,961.5584927687
924.8821291377,1100,17906.4,17422.9272,0.4707112266,0.3815816844,104826.834280598,4824.0355167132,130,1063.4100181765,963.9821130479
737.387762105,1100,17906.4,17422.9272,1.5880076507,0.0554109723,721878.688052693,573.2563135586,140,1874.7467390567,1190.0471943009
767.5124472402,1100,17906.4,17422.9272,0.9587507357,0.0998701203,400520.194528635,973.2563135586,140,1459.0071125401,1079.1150345526
806.5184527462,1100,17906.4,17422.9272,0.7957323281,0.1359182851,294294.4723134,1373.2563135586,140,1325.0914164382,1045.9540841522
837.3290037732,1100,17906.4,17422.9272,0.7036387915,0.1713300115,233467.561550525,1773.2563135586,140,1250.6481633388,1029.2049544527
860.7092165647,1100,17906.4,17422.9272,0.6422632378,0.2056710962,194485.276416782,2173.2563135586,140,1204.8213698136,1020.3527292675
878.5137579161,1100,17906.4,17422.9272,0.5969858813,0.2387293796,167553.738316531,2573.2563135586,140,1174.7810549023,1015.856889047
892.223846915,1100,17906.4,17422.9272,0.5609132733,0.2705624282,147840.187083658,2973.2563135586,140,1154.1963027872,1013.9703749851
